HOT9,YJコード,漢方薬名
110495001,5200131C1043,補中益気湯
110496702,5200131C1051,補中益気湯（ほちゅうえっきとう）
110493601,5200131C1078,補中益気湯
110498101,5200131D1022,補中益気湯（ほちゅうえっきとう）
110499801,5200131D1030,補中益気湯
110500102,5200131D1049,補中益気湯
115966001,5200131D1057,補中益気湯
110502501,5200131D1065,補中益気湯
110503201,5200131D1073,ホチュウエッキトウ
110505604,5200131D1103,補中益気湯
110507001,5200131D1120,補中益気湯
110510001,5200132C1030,麻黄湯
110511702,5200132C1048,麻黄湯（まおうとう）
110509401,5200132C1064,麻黄湯
110513101,5200132D1035,麻黄湯
110514801,5200132D1043,マオウトウ
110515501,5200132D1060,麻黄湯
110516201,5200133C1026,麻黄附子細辛湯
110517901,5200133D1021,麻黄附子細辛湯
110518601,5200133M1021,麻黄附子細辛湯
110519301,5200134C1020,麻杏甘石湯
110520902,5200134C1039,麻杏甘石湯（まきょうかんせきとう）
110521601,5200134D1026,麻杏甘石湯（まきょうかんせきとう）
110523001,5200134D1042,麻杏甘石湯
110524701,5200134D1050,マキョウカンセキトウ
110526101,5200134D1077,麻杏甘石湯
110528501,5200134D1093,麻杏甘石湯
110531501,5200135C1033,麻杏よく甘湯
110532201,5200135C1041,麻杏よく甘湯
110530801,5200135C1050,麻杏よく甘湯
110533901,5200135D1020,麻杏よく甘湯（まきょうよくかんとう）
110534602,5200135D1039,麻杏よく甘湯
110535301,5200135D1047,麻杏よく甘湯
110537703,5200135D1063,麻杏よく甘湯
110538401,5200136C1020,麻子仁丸料
110539101,5200136D1025,麻子仁丸（ましにんがん）
110540701,5200136D1033,麻子仁丸
110541401,5200137C1024,木防已湯
110543801,5200137D1020,木防已湯
110545202,5200138C1037,よく苡仁湯（よくいにんとう）
110544501,5200138C1053,よく苡仁湯
110547601,5200138D1024,よく苡仁湯(よくいにんとう)
115938701,5200138D1032,よく苡仁湯
110549002,5200138D1040,よく苡仁湯
110550601,5200138D1059,よく苡仁湯
110551301,5200138D1067,よく苡仁湯
110552001,5200138D1075,よく苡仁湯
110553701,5200138F1041,よく苡仁湯
110554401,5200139D1029,抑肝散(よくかんさん)
110555101,5200139D1037,抑肝散
110557501,5200140C1034,抑肝散加陳皮半夏
110556801,5200140C1042,抑肝散加陳皮半夏
110558201,5200140D1021,抑肝散加陳皮半夏
110561201,5200141C1039,六君子湯
110562901,5200141C1047,六君子湯
110560501,5200141C1063,六君子湯
110564301,5200141D1026,六君子湯（りっくんしとう）
110565001,5200141D1034,六君子湯
110566701,5200141D1042,リックンシトウ
110568101,5200141D1069,六君子湯
110569801,5200141D1077,六君子湯
115990501,5200142B1020,竜胆瀉肝湯
110571101,5200142C1025,竜胆瀉肝湯
110573502,5200142C1041,竜胆瀉肝湯（りゅうたんしゃかんとう）
115991201,5200142C1050,竜胆瀉肝湯
115939402,5200142D1020,竜胆瀉肝湯
